,Rk,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1055,74,68,2017-03-30,32-090,CLE,@,CHI,L (-6),1,39:07,11,20,0.55,1,7,0.14300000000000002,3,7,0.429,1,9,10,8,1,1,4,0,26,21.5,-3
1056,75,69,2017-03-31,32-091,CLE,,PHI,W (+17),1,29:56,14,22,0.636,3,7,0.429,3,6,0.5,2,7,9,6,0,0,2,2,34,27.9,31
1057,76,70,2017-04-02,32-093,CLE,,IND,W (+5),1,51:39,16,29,0.552,3,10,0.3,6,12,0.5,4,10,14,11,2,1,1,4,41,38.3,-1
1058,77,71,2017-04-04,32-095,CLE,,ORL,W (+20),1,37:06,7,14,0.5,0,3,0.0,4,6,0.667,1,10,11,11,2,1,6,2,18,17.5,17
1059,78,72,2017-04-05,32-096,CLE,@,BOS,W (+23),1,38:33,14,22,0.636,1,4,0.25,7,7,1.0,2,8,10,6,1,2,3,3,36,32.4,32
1060,79,73,2017-04-07,32-098,CLE,,ATL,L (-14),1,41:25,12,15,0.8,1,2,0.5,2,6,0.33299999999999996,1,7,8,7,2,0,5,0,27,24.4,-15
1061,80,74,2017-04-09,32-100,CLE,@,ATL,L (-1),1,46:50,11,21,0.524,1,3,0.33299999999999996,9,10,0.9,3,13,16,10,1,0,3,6,32,29.9,1
1062,1,1,2017-10-17,32-291,CLE,,BOS,W (+3),1,41:12,12,19,0.632,1,5,0.2,4,4,1.0,1,15,16,9,0,2,4,3,29,28.2,2
1063,2,2,2017-10-20,32-294,CLE,@,MIL,W (+19),1,37:25,10,16,0.625,2,4,0.5,2,2,1.0,1,4,5,8,1,1,5,2,24,20.2,13
1064,3,3,2017-10-21,32-295,CLE,,ORL,L (-21),1,31:12,8,15,0.5329999999999999,1,3,0.33299999999999996,5,6,0.833,0,4,4,2,1,1,1,0,22,17.6,-31
1065,4,4,2017-10-24,32-298,CLE,,CHI,W (+7),1,37:15,13,20,0.65,4,6,0.667,4,5,0.8,0,2,2,13,3,0,2,1,34,35.1,7
1066,5,5,2017-10-25,32-299,CLE,@,BRK,L (-5),1,41:22,12,20,0.6,1,2,0.5,4,8,0.5,1,9,10,13,0,4,8,1,29,25.1,-2
1067,6,6,2017-10-28,32-302,CLE,@,NOP,L (-22),1,30:46,6,11,0.545,1,3,0.33299999999999996,5,6,0.833,0,3,3,8,0,0,4,3,18,13.6,-10
1068,7,7,2017-10-29,32-303,CLE,,NYK,L (-19),1,39:28,7,15,0.467,1,4,0.25,1,1,1.0,1,9,10,7,2,0,4,2,16,13.8,-17
1069,8,8,2017-11-01,32-306,CLE,,IND,L (-17),1,37:28,14,22,0.636,1,5,0.2,4,5,0.8,1,5,6,11,2,1,8,1,33,27.0,-12
1070,9,9,2017-11-03,32-308,CLE,@,WAS,W (+8),1,42:41,23,34,0.6759999999999999,2,4,0.5,9,9,1.0,5,6,11,7,3,2,3,2,57,53.2,6
1071,10,10,2017-11-05,32-310,CLE,,ATL,L (-2),1,40:35,10,17,0.588,0,3,0.0,6,6,1.0,2,3,5,13,1,2,6,4,26,24.3,-4
1072,11,11,2017-11-07,32-312,CLE,,MIL,W (+5),1,36:42,10,20,0.5,2,4,0.5,8,10,0.8,1,7,8,9,3,0,1,1,30,29.9,6
1073,12,12,2017-11-09,32-314,CLE,@,HOU,L (-4),1,40:01,15,24,0.625,1,4,0.25,2,3,0.667,0,4,4,7,1,1,8,4,33,20.0,5
1074,13,13,2017-11-11,32-316,CLE,@,DAL,W (+7),1,41:47,6,14,0.429,1,3,0.33299999999999996,6,8,0.75,1,10,11,4,0,1,6,3,19,10.8,5
1075,14,14,2017-11-13,32-318,CLE,@,NYK,W (+3),1,36:16,7,14,0.5,2,4,0.5,7,10,0.7,3,6,9,12,0,3,5,1,23,23.8,2
1076,15,15,2017-11-15,32-320,CLE,@,CHO,W (+8),1,36:38,12,24,0.5,4,7,0.5710000000000001,3,3,1.0,2,4,6,8,2,1,3,4,31,25.3,1
